project,repo,issue_number,author,title,state,opened_or_updated,primary_category,secondary_tags,build_locus,relevance_to_l3,sampled_query,source_url,evidence_type
Envoy AI Gateway,envoyproxy/ai-gateway,2141,aishwaryaraimule21,bug: MCP backend API Keys are embedded as plaintext in HTTPRoute,open,"May 14, 2026",agent_context_state,"agent_context_state,reliability_routing_key",mixed,high,recent,https://github.com/envoyproxy/ai-gateway/issues/2141,exact_issue_html
Envoy AI Gateway,envoyproxy/ai-gateway,2137,mtparet,Feature Request: shadow traffic mirroring for AIGatewayRoute with per-mirror model rewriting,open,"May 13, 2026",provider_adapter_schema,provider_adapter_schema,community_build_in,medium,recent,https://github.com/envoyproxy/ai-gateway/issues/2137,exact_issue_html
Envoy AI Gateway,envoyproxy/ai-gateway,2124,azaretsk,Anthropic built-in tools (web_search_20260209) are stripped when routed through OpenAI-compatible    /v1/chat/completions endpoint,open,"May 11, 2026",provider_adapter_schema,"agent_context_state,provider_adapter_schema",community_build_in,medium,recent,https://github.com/envoyproxy/ai-gateway/issues/2124,exact_issue_html
Envoy AI Gateway,envoyproxy/ai-gateway,2119,jenrik,bug: RegularExpression model header match silently omits models from /v1/models with no validation error,closed,"May 10, 2026",provider_adapter_schema,provider_adapter_schema,community_build_in,medium,log,https://github.com/envoyproxy/ai-gateway/issues/2119,exact_issue_html
Helicone,Helicone/helicone,5684,hdnh2006,[Feature]: Question: how do I add an OpenAI compatible provider? I need to add my self hosted model,open,"May 20, 2026",provider_adapter_schema,provider_adapter_schema,community_build_in,medium,recent,https://github.com/Helicone/helicone/issues/5684,exact_issue_html
Helicone,Helicone/helicone,5672,SirBrenton,"ProviderClient.ts — 429 and 5xx use same exponential backoff, Retry-After never consulted",open,"May 11, 2026",provider_adapter_schema,"provider_adapter_schema,reliability_routing_key",community_build_in,medium,recent,https://github.com/Helicone/helicone/issues/5672,exact_issue_html
Helicone,Helicone/helicone,5658,Zha-Miku,[Bug]: 不是，我自己部署的本地服务，怎么访问内网链接结果到你他妈的官网里面了,open,"Apr 17, 2026",deployment_ops,deployment_ops,community_build_in,low,recent,https://github.com/Helicone/helicone/issues/5658,exact_issue_html
Helicone,Helicone/helicone,5657,ahrbe1,[Bug]: docker image broken?,open,"Apr 11, 2026",deployment_ops,"deployment_ops,multimodal_resource",community_build_in,low,recent,https://github.com/Helicone/helicone/issues/5657,exact_issue_html
Helicone,Helicone/helicone,5650,digitamaz,Clarvia: Pre-flight tool quality scoring as an LLM observability signal,open,"Mar 31, 2026",agent_context_state,agent_context_state,mixed,high,recent,https://github.com/Helicone/helicone/issues/5650,exact_issue_html
Helicone,Helicone/helicone,5645,jagmarques,Integration: Cryptographic signing for LLM logs with asqav,open,"Mar 24, 2026",logging_audit_cost,logging_audit_cost,self_operated,high,recent,https://github.com/Helicone/helicone/issues/5645,exact_issue_html
Helicone,Helicone/helicone,5643,ManuelElvir,MCP server: support configurable base URL for EU instances,open,"Mar 23, 2026",agent_context_state,"agent_context_state,multimodal_resource",mixed,high,recent,https://github.com/Helicone/helicone/issues/5643,exact_issue_html
Helicone,Helicone/helicone,5597,lighthousekeeper1212,Security: Cross-Organization Provider Key IDOR in Vault Endpoint,open,"Feb 20, 2026",security_guardrails,"security_guardrails,provider_adapter_schema",self_operated,high,log,https://github.com/Helicone/helicone/issues/5597,exact_issue_html
Higress,higress-group/higress,3877,ShadowSmallBaby,DeekSeek官方服务商使用/v1/responses端口请求失败问题 || DeekSeek official service provider failed to use /v1/responses port request,open,"May 25, 2026",provider_adapter_schema,provider_adapter_schema,community_build_in,medium,recent,https://github.com/higress-group/higress/issues/3877,exact_issue_html
Higress,higress-group/higress,3868,lwhui,v2.1.9本地镜像构建gateway报supercronic-linux-amd64包404 || v2.1.9 local image build gateway reports supercronic-linux-amd64 package 404,open,"May 23, 2026",deployment_ops,"deployment_ops,multimodal_resource",community_build_in,low,recent,https://github.com/higress-group/higress/issues/3868,exact_issue_html
Higress,higress-group/higress,3866,lifahui,自定义插件连接redis失败问题 || The custom plug-in fails to connect to redis.,open,"May 22, 2026",reliability_routing_key,"reliability_routing_key,deployment_ops",self_operated,medium,recent,https://github.com/higress-group/higress/issues/3866,exact_issue_html
Higress,higress-group/higress,3865,zbk2012,higress安装key-auth插件失败，造成网关崩溃,,"May 22, 2026",deployment_ops,"deployment_ops,reliability_routing_key,security_guardrails",community_build_in,low,recent,https://github.com/higress-group/higress/issues/3865,exact_issue_html
Higress,higress-group/higress,3863,q2444,关于higress在k8s安装后通过ingress访问higress-console界面打开是Thanks for using Higress!的问题 || Thanks for using Higress! Regarding the problem of opening the higress-console interface after higress is installed on k8s.,closed,"May 22, 2026",deployment_ops,deployment_ops,community_build_in,low,recent,https://github.com/higress-group/higress/issues/3863,exact_issue_html
Higress,higress-group/higress,3861,Wly427,添加mcpbridge启用mcpServer后，higress-gateway崩溃，Envoy exited with error: signal: trace/breakpoint trap,open,"May 22, 2026",agent_context_state,"agent_context_state,logging_audit_cost",mixed,high,recent,https://github.com/higress-group/higress/issues/3861,exact_issue_html
Higress,higress-group/higress,3858,muicoder,The v2.2.2 arm64 image is corrupted.,closed,"May 22, 2026",deployment_ops,"deployment_ops,docker_image",community_build_in,low,recent,https://github.com/higress-group/higress/issues/3858,exact_issue_html
Higress,higress-group/higress,3857,mottoyin,Higress gatewayclass 显示unknown，无法使用gateway api与http route,open,"May 22, 2026",deployment_ops,deployment_ops,community_build_in,low,recent,https://github.com/higress-group/higress/issues/3857,exact_issue_html
LiteLLM,BerriAI/litellm,28781,olliekirbyz548-ui,LOW: Missing SECURITY.md - AI gateway handling LLM API keys,open,"May 25, 2026",reliability_routing_key,"reliability_routing_key,security_guardrails",self_operated,medium,recent,https://github.com/BerriAI/litellm/issues/28781,exact_issue_html
LiteLLM,BerriAI/litellm,28780,olliekirbyz548-ui,HIGH: Hardcoded DB password dbpassword9090 in docker-compose - stores all LLM API keys,open,"May 25, 2026",deployment_ops,"deployment_ops,reliability_routing_key",community_build_in,low,recent,https://github.com/BerriAI/litellm/issues/28780,exact_issue_html
LiteLLM,BerriAI/litellm,28778,WHUhuangke,"[Bug]: When an agent with tools turns on either redis-semanticor qdrant-semantic cache mode and carries tool return JSON requests to the gateway, the tool return content will be lost.",open,"May 25, 2026",agent_context_state,agent_context_state,mixed,high,recent,https://github.com/BerriAI/litellm/issues/28778,exact_issue_html
LiteLLM,BerriAI/litellm,28777,apujari-netapp,"[Bug]: streamGenerateContent passthrough always returns SSE format, breaking google-genai SDK",open,"May 25, 2026",streaming_protocol_parity,streaming_protocol_parity,community_build_in,medium,recent,https://github.com/BerriAI/litellm/issues/28777,exact_issue_html
LiteLLM,BerriAI/litellm,28756,,use_chat_completions_url_for_anthropic_messages config key not loaded from proxy YAML,,,reliability_routing_key,"reliability_routing_key,multimodal_resource",self_operated,medium,recent,https://github.com/BerriAI/litellm/issues/28756,exact_issue_html
LiteLLM,BerriAI/litellm,28747,fallintoplace,[Bug]: /eu.assemblyai passthrough resolves to default US AssemblyAI endpoint,open,"May 24, 2026",provider_adapter_schema,"provider_adapter_schema,reliability_routing_key,regional_endpoint",community_build_in,medium,deploy,https://github.com/BerriAI/litellm/issues/28747,exact_issue_html
LiteLLM,BerriAI/litellm,28734,chenhaiyun,"[Bug]: Docker image pins glibc version in /etc/apk/world, preventing security upgrades",open,"May 24, 2026",deployment_ops,"deployment_ops,multimodal_resource,security_guardrails",community_build_in,low,image,https://github.com/BerriAI/litellm/issues/28734,exact_issue_html
LiteLLM,BerriAI/litellm,28689,vmxmy,[Bug]: max_budget_in_team: null via /team/member_update causes 401 auth crash — LiteLLM_TeamMembership.litellm_budget_table is Optional without default,open,"May 23, 2026",reliability_routing_key,"reliability_routing_key,security_guardrails",self_operated,medium,deploy,https://github.com/BerriAI/litellm/issues/28689,exact_issue_html
New API,QuantumNous/new-api,5101,griffin-2002,fix: show actual image quality value in log instead of always 'standard',open,"May 25, 2026",logging_audit_cost,"logging_audit_cost,multimodal_resource",self_operated,high,recent,https://github.com/QuantumNous/new-api/issues/5101,exact_issue_html
New API,QuantumNous/new-api,5096,MatieBaxendale982764,使用日志页面过几秒就总报500错误,,"May 25, 2026",logging_audit_cost,"logging_audit_cost,reliability_routing_key",self_operated,high,recent,https://github.com/QuantumNous/new-api/issues/5096,exact_issue_html
New API,QuantumNous/new-api,5091,HongShuoZhang,feat:如果newapi部署容器环境中是否增加网关代理,open,"May 25, 2026",deployment_ops,deployment_ops,community_build_in,low,recent,https://github.com/QuantumNous/new-api/issues/5091,exact_issue_html
New API,QuantumNous/new-api,5089,MKSP2015,【Bug】有人在NewAPI中正确调用gpt-image-2吗？,,"May 25, 2026",multimodal_resource,multimodal_resource,mixed,high,recent,https://github.com/QuantumNous/new-api/issues/5089,exact_issue_html
New API,QuantumNous/new-api,5080,lxil520,Async task refund logs miss request_id and upstream_request_id,,"May 24, 2026",logging_audit_cost,"logging_audit_cost,async_task,refund",self_operated,high,log,https://github.com/QuantumNous/new-api/issues/5080,exact_issue_html
New API,QuantumNous/new-api,5069,ChenXu233,feat: data panel tokens 统计增加 cache_tokens 和 cache_creation_tokens,open,"May 23, 2026",logging_audit_cost,logging_audit_cost,self_operated,high,log,https://github.com/QuantumNous/new-api/issues/5069,exact_issue_html
New API,QuantumNous/new-api,5064,daoif,模型测试计费漏乘分组倍率：日志显示 default 1.7x，但实际扣费按 1x 计算,open,"May 23, 2026",logging_audit_cost,logging_audit_cost,self_operated,high,image,https://github.com/QuantumNous/new-api/issues/5064,exact_issue_html
Portkey,Portkey-AI/gateway,1663,hogan-yuan,Request: List Longbridge MCP on portkey.ai/mcp-servers directory,open,"May 21, 2026",agent_context_state,"agent_context_state,reliability_routing_key",mixed,high,recent,https://github.com/Portkey-AI/gateway/issues/1663,exact_issue_html
Portkey,Portkey-AI/gateway,1659,meitalbensinai,"Streamed responses fail under concurrent load with ""Response object has been garbage collected""",open,"May 19, 2026",streaming_protocol_parity,streaming_protocol_parity,community_build_in,medium,recent,https://github.com/Portkey-AI/gateway/issues/1659,exact_issue_html
Portkey,Portkey-AI/gateway,1648,kapelame,Feature: Add MiniMax as a built-in catalog tile in the Dashboard,open,"May 13, 2026",provider_adapter_schema,"provider_adapter_schema,model_catalog",community_build_in,medium,recent,https://github.com/Portkey-AI/gateway/issues/1648,exact_issue_html
Portkey,Portkey-AI/gateway,1640,Magolor,[Feature] OpenRouter Image Generation,open,"May 11, 2026",multimodal_resource,multimodal_resource,mixed,high,recent,https://github.com/Portkey-AI/gateway/issues/1640,exact_issue_html
Portkey,Portkey-AI/gateway,1639,davidwhite-spec,reasoning_effort silently no-ops for Vertex gemini-2.5-flash-lite on /v1/responses,open,"May 10, 2026",streaming_protocol_parity,streaming_protocol_parity,community_build_in,medium,recent,https://github.com/Portkey-AI/gateway/issues/1639,exact_issue_html
Portkey,Portkey-AI/gateway,1636,teddyamkie-lakera,[Feature] Lakera Guard guardrail plugin,open,"May 8, 2026",security_guardrails,security_guardrails,self_operated,high,recent,https://github.com/Portkey-AI/gateway/issues/1636,exact_issue_html
Portkey,Portkey-AI/gateway,1630,,[Feature] Add ChatGPT Images 2 Support,,,multimodal_resource,multimodal_resource,mixed,high,recent,https://github.com/Portkey-AI/gateway/issues/1630,exact_issue_html
Portkey,Portkey-AI/gateway,1627,jimmyxie-figma,Unhandled exception in fireworks-ai streaming requests when stream chunk has empty choices,open,"May 2, 2026",streaming_protocol_parity,streaming_protocol_parity,community_build_in,medium,stream,https://github.com/Portkey-AI/gateway/issues/1627,exact_issue_html
vLLM,vllm-project/vllm,32685,FlynnOwen,Responses API supports multimodal inputs,,,multimodal_resource,"multimodal_resource,streaming_protocol_parity",mixed,high,responses api,https://github.com/vllm-project/vllm/issues/32685,exact_issue
vLLM,vllm-project/vllm,34857,qandrew,"vLLM H1 2026 roadmap / lookahead: MCP, tool calling, parser/renderer and state offload",,,agent_context_state,"agent_context_state,multimodal_resource",mixed,high,roadmap,https://github.com/vllm-project/vllm/issues/34857,exact_issue
SGLang,sgl-project/sglang,10177,jhinpan,Responses API lacks custom function tools,,,agent_context_state,"agent_context_state,provider_adapter_schema",mixed,high,responses api,https://github.com/sgl-project/sglang/issues/10177,exact_issue
SGLang,sgl-project/sglang,9681,unknown,OpenAI tool calling / responses API behavior clarification,,,streaming_protocol_parity,"streaming_protocol_parity,agent_context_state,provider_adapter_schema",community_build_in,medium,tool calling,https://github.com/sgl-project/sglang/issues/9681,exact_issue
llama.cpp,ggml-org/llama.cpp,15231,alvis233,llama-server tool_calls parameter type breaks OpenAI compatibility,,,provider_adapter_schema,"provider_adapter_schema,agent_context_state",community_build_in,medium,tool_calls,https://github.com/ggml-org/llama.cpp/issues/15231,exact_issue
APISIX,apache/apisix,13351,,"ai-proxy auth.header re-encrypted on every PATCH, causing 401 from upstream LLM",,,security_guardrails,"security_guardrails,provider_adapter_schema",self_operated,high,ai-proxy,https://github.com/apache/apisix/issues/13351,exact_issue_html
APISIX,apache/apisix,13290,,add ai-cache plugin for LLM semantic caching,,,reliability_routing_key,"reliability_routing_key,logging_audit_cost",self_operated,medium,ai-cache,https://github.com/apache/apisix/issues/13290,exact_issue_html
APISIX,apache/apisix,13256,,ai-proxy: streaming SSE loop can starve worker CPU under bursty upstreams,,,streaming_protocol_parity,"streaming_protocol_parity,reliability_routing_key",community_build_in,medium,ai-proxy,https://github.com/apache/apisix/issues/13256,exact_issue_html
APISIX,apache/apisix,13233,,reference a secret in ai-rag plugin instead of writing the apikey in plain text,,,security_guardrails,"security_guardrails,agent_context_state",self_operated,high,ai-rag,https://github.com/apache/apisix/issues/13233,exact_issue_html
APISIX,apache/apisix,13213,,"about ai-multi-proxy, rewrite the endpoint",,,provider_adapter_schema,"provider_adapter_schema,reliability_routing_key",community_build_in,medium,ai-multi-proxy,https://github.com/apache/apisix/issues/13213,exact_issue_html
APISIX,apache/apisix,13150,,dynamically pass parameters from Consumer to an ai-proxy plugin,,,provider_adapter_schema,"provider_adapter_schema,security_guardrails",community_build_in,medium,ai-proxy,https://github.com/apache/apisix/issues/13150,exact_issue_html
vLLM,vllm-project/vllm,43267,,Support streaming output for tool_calls arguments,,,streaming_protocol_parity,"streaming_protocol_parity,agent_context_state",community_build_in,medium,tool calling,https://github.com/vllm-project/vllm/issues/43267,exact_issue_html
